Регион,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Белгородская область,8369,10014,10822,12017,13358,13490,12500,13031,12706,10759,12748,11103,9908,9700,9493
Брянская область,6856,8222,8338,8353,8649,9239,8648,8637,8871,8399,8884,7150,5931,5386,5481
Владимирская область,6389,8426,9146,9457,9620,9832,9506,9350,8820,7436,7142,7206,6002,6467,6429
Воронежская область,19457,19209,19447,20708,21330,22211,22777,22047,19333,18919,23114,18374,18233,18805,18323
Ивановская область,9767,10741,11078,10965,11230,11004,10030,9671,8381,7490,8388,7575,6128,5458,5077
Калужская область,4394,4770,4744,4800,4639,4676,4661,4363,3991,4159,4796,3774,3204,3516,3211
Костромская область,3330,3349,3413,3618,3656,3879,3789,3732,3849,3733,4623,2777,2512,2122,2267
Курская область,5791,7686,8087,7805,8846,8816,10048,9076,9780,10176,10908,9725,7108,7081,7571
Липецкая область,4732,4922,5708,5801,6413,6629,7061,6556,5807,5511,6430,5532,4282,4041,4564
Московская область,21196,21259,22201,22997,23731,22562,21216,20306,22924,20260,22684,18252,12947,13718,14338
Орловская область,6583,7565,7986,7999,8289,8527,8607,8003,7730,7367,8517,7736,6677,6766,6685
Рязанская область,6652,7474,7505,7583,7997,7472,7421,8675,7325,6625,7897,6118,5275,5316,5486
Смоленская область,4532,5215,5335,5229,5758,6190,6778,6141,5649,6248,5830,4253,3671,3803,3845
Тамбовская область,5857,6268,7498,8136,8141,8421,8246,7996,8110,7326,8864,6254,5648,6246,5805
Тверская область,5912,6515,6340,6596,6629,6701,6452,6265,6365,6425,6441,6041,5560,5186,5035
Тульская область,7610,8370,9521,7241,8827,7981,7549,7448,6900,6970,7823,5220,5243,5178,5058
Ярославская область,6762,7625,7501,7671,7503,7993,7468,6933,7276,7100,7391,6391,5403,5629,5427
Город Москва,134079,151954,159905,168010,172217,167967,164434,157900,144917,134943,157578,143270,126924,122410,122697
Республика Карелия,3821,4138,4324,3793,3899,3870,3714,3667,3130,3214,3121,3005,2494,2238,2144
Республика Коми,4607,4919,5105,5229,5961,5264,5086,4921,4639,5045,5058,4794,3633,3304,3274
Архангельская область,6722,7422,7550,7870,7817,7760,7590,6637,5587,4850,5066,4589,3417,3543,3399
Ненецкий автономный округ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Вологодская область,7080,7324,8372,8034,8177,8180,8152,7186,6705,6215,6567,5588,4501,3973,4029
Калининградская область,4200,4541,5185,5511,5850,5490,5771,5546,5007,4885,4985,3794,3500,3245,3358
Ленинградская область,1576,1698,1790,2007,1867,2028,2084,1723,1956,2209,2097,2515,1459,1431,1089
Мурманская область,4129,4723,4496,4512,4618,4416,4146,3716,3815,3342,3215,2746,1636,1562,1484
Новгородская область,4100,3953,3997,3932,3770,3433,3774,3269,2753,2774,2675,2610,2013,1574,1658
Псковская область,2803,3057,2815,2906,3568,3108,3302,3200,3843,2833,3685,3434,2345,2247,2089
Город Санкт-Петербург,64456,69878,73386,73755,78287,81111,78796,78773,71591,68330,74532,65355,58478,59577,57452
Республика Адыгея,2176,3259,3472,3580,3594,3700,3437,2315,3347,3241,3680,8007,4891,3426,2232
Республика Калмыкия,1381,1397,1393,1442,1686,1689,1602,1763,1984,1610,1547,1494,1422,1601,1772
Республика Крым,13157,13157,13157,13157,13157,13157,13157,13157,13157,13157,6399,9535,8634,9291,9056
Краснодарский край,20412,23225,25420,26219,27626,30055,32310,34907,31342,27965,34096,25795,21444,21297,21889
Астраханская область,4743,5582,5937,6082,6345,6197,6127,6165,6435,6336,7418,5946,5699,5748,5250
Волгоградская область,17336,19191,19508,20970,19481,20086,20538,20096,19341,17385,15926,15109,12822,12219,12575
Ростовская область,34257,34200,38130,38321,39592,39053,38533,36762,35239,35130,42297,37351,29786,29580,28819
Город Севастополь,3813,3813,3813,3813,3813,3813,3813,3813,3813,3813,2154,2823,2410,2625,2819
Республика Дагестан,15992,17138,19541,18901,18787,19583,14824,17895,17218,15153,17602,15136,12409,12135,11041
Республика Ингушетия,787,927,968,1121,1599,1642,1645,1865,1990,1942,2548,1778,1527,1369,1589
Кабардино-Балкарская Республика,3991,4190,4422,4768,4850,4742,3987,4191,3839,3713,4267,3956,3018,3096,3274
Карачаево-Черкесская Республика,2466,2114,2719,2472,2867,2770,2821,2456,2465,2646,2844,2749,2239,2052,2337
Республика Северная Осетия-Алания,4261,4800,5049,5688,5314,5541,6194,5616,5483,4858,6332,4854,4530,4758,4792
Чеченская Республика,3759,3318,4333,4425,4195,4996,5166,5529,5970,5407,6081,7524,4824,5471,5910
Ставропольский край,17775,20330,21877,23957,23653,22955,24153,21256,21271,20312,23658,18917,14514,12538,14503
Республика Башкортостан,23425,23609,26027,23993,26107,28011,27909,28977,26777,25022,31164,24883,21748,21427,21060
Республика Марий Эл,4356,4399,4567,4416,4265,4618,4523,4529,4368,4338,4103,3613,3322,3240,3376
Республика Мордовия,6502,7353,7735,7727,7821,8539,8548,7960,6133,5835,5860,5436,5004,5066,4989
Республика Татарстан,25789,28605,31271,30409,31461,32627,33568,31417,29231,29013,34279,29094,26352,26678,26305
Удмуртская Республика,11726,13021,14033,13138,13208,14507,14543,13179,12599,11830,11376,11365,9144,9700,9548
Чувашская Республика - Чувашия,11373,10474,11552,11445,12114,13127,13246,12219,10341,9098,8957,7484,6506,7029,6293
Пермский край,15389,15356,15156,15109,15891,15910,15906,15744,15116,13672,15380,13131,11691,11457,10851
Кировская область,9036,9315,9618,9318,9305,9119,9257,9264,8032,8045,7464,6408,6018,5941,5969
Нижегородская область,25213,25953,29815,33426,33816,34374,32733,31007,27063,24949,23842,21880,18449,18272,18471
Оренбургская область,11964,12160,12687,13456,13783,13737,13263,12902,12568,11662,13523,12540,8784,7413,8113
Пензенская область,7897,9301,9068,9604,9328,9308,10027,9728,10182,8646,10393,7866,7073,6838,6952
Самарская область,22643,25668,26233,26597,28585,28052,27271,27475,26068,24802,26118,23942,19799,19636,20040
Саратовская область,18468,20717,21451,22585,23555,23927,22967,22531,21890,19834,23110,19393,16457,17121,16706
Ульяновская область,7182,7737,8662,9063,9952,10184,9427,9792,10261,9320,10412,7485,6794,7216,7218
Курганская область,4542,5327,5017,5633,6281,6310,6105,6110,5284,4465,5219,4906,3749,3457,3383
Свердловская область,34466,33941,34487,33963,34981,35372,35647,34993,32574,33321,30911,28603,24313,27489,24923
Ханты-Мансийский автономный округ,4954,5867,5822,5676,5221,5290,4934,5139,4537,5982,6464,5052,4923,5059,4841
Ямало-Ненецкий автономный округ,1064,807,724,607,419,388,380,237,292,540,886,246,440,86,71
Тюменская область,24550,27073,28108,27806,29427,28899,27420,27290,20896,18136,17695,14425,12762,12139,11563
Челябинская область,23047,25535,25749,25127,27537,28571,30461,29898,27963,28365,30128,23353,18447,17939,17475
Республика Алтай,933,1009,741,930,862,956,839,806,1264,862,778,716,692,563,567
Республика Тыва,749,919,887,736,900,981,1108,953,960,1132,1403,1049,864,806,957
Республика Хакасия,3214,2864,3105,3355,3611,3490,3130,3502,3142,2314,2031,2093,1752,1559,1782
Алтайский край,12552,14897,14091,14273,14798,14896,13934,13370,12502,12852,13394,12009,10023,9993,9602
Красноярский край,20820,19852,20563,19581,20516,20317,20254,18443,18361,17628,18182,17724,14263,14039,13328
Иркутская область,19002,18988,20526,21295,22635,23366,21739,21348,20542,18431,20238,17597,14057,13546,13064
Кемеровская область,17828,17109,17155,17571,17332,17160,16857,16131,14931,14456,14621,13064,10466,10720,9410
Новосибирская область,29478,29773,29856,28841,28583,29263,26958,26653,22862,22157,23905,22069,20184,18738,18336
Омская область,14023,15371,16020,16429,16918,18249,17744,16358,15286,15613,17656,15733,13489,12663,12158
Томская область,14931,17392,16108,15548,16666,17179,16297,14831,14421,13437,13230,13677,11403,11594,11327
Республика Бурятия,5167,5483,7733,7008,8192,8604,7427,7854,7948,6788,7441,6774,5384,5172,4625
Забайкальский край,6912,6904,5948,6324,6404,6571,7354,7401,5350,6344,5472,5727,4303,3931,4027
Республика Саха (Якутия),6376,6379,6688,6498,6856,6027,6935,7138,6432,6136,6781,4323,4306,4055,4304
Камчатский край,2667,2736,2892,2905,2858,2785,2651,2885,2243,1874,1970,1316,1036,833,850
Приморский край,13159,15328,16139,16113,17057,15849,15959,15651,15167,13855,14864,12032,8840,8343,9528
Хабаровский край,13248,15542,15716,15583,16195,16581,15816,15706,14613,14197,14289,12298,10522,9782,9287
Амурская область,4459,4631,4810,4427,4291,4508,4493,3625,4333,3629,4866,3814,3303,3491,3011
Магаданская область,956,916,936,937,1114,1049,1050,924,1070,962,820,523,417,379,427
Сахалинская область,1731,1604,1919,2045,2011,2070,1802,1847,1717,1053,1705,1590,1188,1004,596
Еврейская автономная область,1513,1778,1505,1585,1410,1421,1186,1085,798,820,1018,887,650,558,475
Чукотский автономный округ,0,0,0,0,0,0,0,0,167,84,76,136,36,9,6
